assessment_id,learner_id,score,type
1001,60,28,Communication
1002,2,93,Communication
1003,52,32,Communication
1004,72,35,Communication
1005,50,88,Aptitude
1006,46,93,Aptitude
1007,43,37,Communication
1008,17,46,Aptitude
1009,86,33,Communication
1010,99,64,Coding
1011,49,89,Aptitude
1012,39,2,Coding
1013,17,54,Communication
1014,26,5,Communication
1015,88,90,Communication
1016,53,34,Aptitude
1017,38,86,Coding
1018,95,14,Coding
1019,35,99,Coding
1020,39,74,Coding
1021,86,14,Communication
1022,37,93,Communication
1023,91,11,Coding
1024,55,21,Coding
1025,35,42,Aptitude
1026,17,60,Coding
1027,14,18,Communication
1028,4,4,Communication
1029,70,46,Communication
1030,32,85,Aptitude
1031,81,14,Communication
1032,27,16,Aptitude
1033,35,65,Communication
1034,5,73,Communication
1035,47,9,Aptitude
1036,31,67,Coding
1037,12,48,Communication
1038,62,5,Coding
1039,78,94,Aptitude
1040,23,43,Aptitude
1041,91,72,Coding
1042,17,11,Coding
1043,4,19,Aptitude
1044,88,54,Communication
1045,56,69,Coding
1046,60,64,Aptitude
1047,21,4,Coding
1048,78,56,Communication
1049,54,84,Coding
1050,3,31,Communication
1051,55,94,Communication
1052,85,48,Aptitude
1053,89,43,Communication
1054,92,51,Coding
1055,44,0,Coding
1056,81,13,Aptitude
1057,76,77,Communication
1058,50,19,Communication
1059,7,89,Coding
1060,72,22,Aptitude
1061,45,98,Coding
1062,40,15,Aptitude
1063,54,86,Communication
1064,8,75,Coding
1065,5,70,Aptitude
1066,67,72,Coding
1067,88,90,Coding
1068,76,89,Coding
1069,47,96,Aptitude
1070,16,92,Coding
1071,96,72,Coding
1072,85,45,Coding
1073,14,20,Communication
1074,26,48,Coding
1075,6,81,Aptitude
1076,88,16,Coding
1077,94,75,Aptitude
1078,80,22,Communication
1079,64,4,Communication
1080,66,89,Communication
1081,50,28,Communication
1082,62,65,Aptitude
1083,58,5,Aptitude
1084,24,79,Communication
1085,50,55,Communication
1086,13,49,Communication
1087,7,35,Coding
1088,13,94,Aptitude
1089,44,66,Communication
1090,9,44,Aptitude
1091,85,68,Aptitude
1092,19,29,Communication
1093,74,90,Coding
1094,62,25,Aptitude
1095,31,66,Aptitude
1096,6,22,Communication
1097,91,80,Coding
1098,39,57,Communication
1099,37,39,Coding
1100,16,51,Communication
