learner_id,attendance_pct
1,75
2,67
3,63
4,83
5,82
6,50
7,67
8,54
9,88
10,56
11,56
12,68
13,53
14,78
15,60
16,96
17,60
18,53
19,88
20,93
21,73
22,77
23,76
24,96
25,62
26,71
27,93
28,76
29,78
30,53
31,68
32,73
33,88
34,62
35,78
36,79
37,61
38,71
39,59
40,65
41,79
42,59
43,67
44,50
45,64
46,56
47,85
48,86
49,65
50,90
51,63
52,91
53,59
54,90
55,59
56,54
57,77
58,74
59,93
60,57
61,83
62,56
63,54
64,51
65,54
66,77
67,55
68,55
69,79
70,75
71,60
72,60
73,71
74,82
75,95
76,59
77,63
78,54
79,54
80,50
81,64
82,55
83,63
84,92
85,50
86,92
87,85
88,89
89,94
90,99
91,57
92,93
93,76
94,72
95,70
96,80
97,92
98,61
99,60
100,83
