learner_id,batch,coding_score,aptitude_score,communication_score
1,Batch_B,94,81,76
2,Batch_B,40,87,43
3,Batch_A,92,57,45
4,Batch_B,87,54,55
5,Batch_B,96,44,54
6,Batch_A,82,84,45
7,Batch_B,82,43,79
8,Batch_A,70,67,56
9,Batch_A,56,83,66
10,Batch_B,89,88,99
11,Batch_B,78,95,59
12,Batch_A,95,48,97
13,Batch_B,60,84,76
14,Batch_B,98,99,82
15,Batch_B,41,62,68
16,Batch_B,96,70,59
17,Batch_B,84,40,56
18,Batch_A,85,90,42
19,Batch_A,46,47,82
20,Batch_B,89,99,46
21,Batch_B,97,58,71
22,Batch_B,52,69,54
23,Batch_B,91,53,98
24,Batch_A,72,52,90
25,Batch_B,48,58,62
26,Batch_B,47,99,59
27,Batch_A,99,46,70
28,Batch_A,46,74,66
29,Batch_B,46,61,99
30,Batch_B,89,86,74
31,Batch_A,52,57,44
32,Batch_A,54,84,47
33,Batch_A,63,78,44
34,Batch_A,47,64,61
35,Batch_A,45,59,62
36,Batch_B,89,86,88
37,Batch_B,73,50,61
38,Batch_A,79,60,78
39,Batch_B,94,57,99
40,Batch_B,56,50,55
41,Batch_B,68,95,60
42,Batch_A,63,43,66
43,Batch_B,69,96,82
44,Batch_A,53,81,46
45,Batch_A,87,79,93
46,Batch_A,48,71,74
47,Batch_A,59,95,41
48,Batch_A,85,53,82
49,Batch_A,74,61,56
50,Batch_A,53,92,57
51,Batch_A,69,68,75
52,Batch_B,53,82,90
53,Batch_A,82,79,46
54,Batch_B,42,97,53
55,Batch_B,94,73,66
56,Batch_B,53,93,72
57,Batch_B,63,86,83
58,Batch_A,89,74,90
59,Batch_A,71,66,49
60,Batch_B,64,86,43
61,Batch_A,40,55,51
62,Batch_B,99,53,43
63,Batch_A,46,78,63
64,Batch_B,82,89,70
65,Batch_A,98,40,43
66,Batch_B,53,97,40
67,Batch_A,69,63,63
68,Batch_B,87,50,64
69,Batch_B,88,66,77
70,Batch_B,46,56,64
71,Batch_B,98,41,53
72,Batch_A,51,83,54
73,Batch_B,67,46,97
74,Batch_A,87,68,67
75,Batch_B,41,76,82
76,Batch_B,73,48,92
77,Batch_B,70,45,86
78,Batch_B,79,62,46
79,Batch_B,48,63,76
80,Batch_B,73,92,44
81,Batch_B,47,58,89
82,Batch_B,48,89,42
83,Batch_B,96,65,71
84,Batch_B,43,97,74
85,Batch_B,46,63,88
86,Batch_A,93,75,82
87,Batch_A,72,60,55
88,Batch_B,89,73,52
89,Batch_B,61,76,90
90,Batch_A,74,63,64
91,Batch_B,47,81,79
92,Batch_B,52,77,67
93,Batch_A,65,54,66
94,Batch_A,80,69,71
95,Batch_A,69,46,70
96,Batch_B,60,48,83
97,Batch_B,49,88,61
98,Batch_A,72,43,87
99,Batch_B,77,51,45
100,Batch_A,99,67,97
